Protein,BINCODE,NAME,mean
eucgr.c03047.1.p,"_1.2.4.1_, _25_","'PS.photorespiration.glycine cleavage.P subunit', 'C1-metabolism'",2.34601912229886e-10
eucgr.c03069.1.p,_29.5_,'protein.degradation',6.80259002734813e-12
eucgr.c03150.1.p,_20.2.1_,'stress.abiotic.heat',2.14414971347824e-12
eucgr.c03178.1.p,_35.2_,'not assigned.unknown',3.35607751102868e-12
eucgr.c03199.1.p,_2.2.1.5_,'major CHO metabolism.degradation.sucrose.Susy',3.67300616998451e-11
eucgr.c03233.1.p,_13.1.5.1.1_,'amino acid metabolism.synthesis.serine-glycine-cysteine group.serine.phosphoglycerate dehydrogenase',3.06846201433908e-12
eucgr.c03291.2.p,_11.1.3_,'lipid metabolism.FA synthesis and FA elongation.ketoacyl ACP synthase',2.67547733959123e-12
eucgr.c03295.3.p,_29.6_,'protein.folding',4.33601405972405e-11
eucgr.c03305.1.p,_35.2_,'not assigned.unknown',1.50869816082421e-12
eucgr.c03307.1.p,_1.1.2.1_,'PS.lightreaction.photosystem I.LHC-I',1.39024965752079e-12
eucgr.c03337.1.p,_20.2.99_,'stress.abiotic.unspecified',1.35974468463846e-10
eucgr.c03347.1.p,_20.2.99_,'stress.abiotic.unspecified',1.46862276607443e-12
eucgr.c03418.1.p,_29.2.3_,'protein.synthesis.initiation',5.3806142434992e-11
eucgr.c03488.1.p,_20.2.99_,'stress.abiotic.unspecified',6.11472311426411e-11
eucgr.c03525.1.p,_1.3.1_,'PS.calvin cycle.rubisco large subunit',2.19438118923304e-10
eucgr.c03536.1.p,_20.2.99_,'stress.abiotic.unspecified',4.85617547084424e-11
eucgr.c03537.1.p,_20.2.99_,'stress.abiotic.unspecified',1.86233198031799e-10
eucgr.c03541.1.p,_17.7.1.5_,'hormone metabolism.jasmonate.synthesis-degradation.12-Oxo-PDA-reductase',3.70620298408453e-12
eucgr.c03557.1.p,_35.1_,'not assigned.no ontology',2.43274693167849e-11
eucgr.c03560.1.p,_29.2.1.2.1.3_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S3',1.86602067027624e-11
eucgr.c03704.1.p,_29.3.2_,'protein.targeting.mitochondria',1.3070720196382e-11
eucgr.c03716.1.p,_29.1.19_,'protein.aa activation.arginine-tRNA ligase',4.79794416076418e-12
eucgr.c03728.1.p,_2.2.1.4_,'major CHO metabolism.degradation.sucrose.hexokinase',1.15023627057203e-11
eucgr.c03762.1.p,_8.2.10_,'TCA / org transformation.other organic acid transformatons.malic',1.06997710048745e-12
eucgr.c03782.1.p,_29.4_,'protein.postranslational modification',1.18766970386277e-12
eucgr.c03791.1.p,_24.2_,'Biodegradation of Xenobiotics.lactoylglutathione lyase',7.04108133879675e-11
eucgr.c03812.1.p,_21.5_,'redox.peroxiredoxin',7.68787464202292e-11
eucgr.c03817.1.p,_29.3.3_,'protein.targeting.chloroplast',5.66751897795777e-13
eucgr.c03854.1.p,_5.10_,'fermentation.aldehyde dehydrogenase',6.724452218416e-12
eucgr.c03891.1.p,_23.4.99_,'nucleotide metabolism.phosphotransfer and pyrophosphatases.misc',2.82046228780071e-13
eucgr.c03896.1.p,"_10.6.2_, _26.3.2_","'cell wall.degradation.mannan-xylose-arabinose-fucose', 'misc.gluco-, galacto- and mannosidases.beta-galactosidase'",2.22188437132018e-12
eucgr.c03898.1.p,"_10.6.2_, _26.3.2_","'cell wall.degradation.mannan-xylose-arabinose-fucose', 'misc.gluco-, galacto- and mannosidases.beta-galactosidase'",9.45310974286687e-13
eucgr.c03901.1.p,_33.99_,'development.unspecified',9.3618950526323e-13
eucgr.c03922.1.p,_17.2.1_,'hormone metabolism.auxin.synthesis-degradation',8.13813750282729e-13
eucgr.c03953.2.p,_29.8_,'protein.assembly and cofactor ligation',1.74960402136409e-12
eucgr.c03995.1.p,"_17.1.1.1.11_, _26.22_","'hormone metabolism.abscisic acid.synthesis-degradation.synthesis.short chain alcohol dehydrogenmase (ABA2)', 'misc.short chain dehydrogenase/reductase (SDR)'",1.65350849146735e-12
eucgr.c04003.1.p,_34.16_,'transport.ABC transporters and multidrug resistance systems',2.21647311220099e-12
eucgr.c04028.1.p,_27.3.99_,'RNA.regulation of transcription.unclassified',2.88313418116908e-12
eucgr.c04031.1.p,_29.3.3_,'protein.targeting.chloroplast',7.51728727360873e-12
eucgr.c04037.1.p,_21.2_,'redox.ascorbate and glutathione',4.63760127846483e-12
eucgr.c04044.1.p,_34.99_,'transport.misc',1.04662697194154e-11
eucgr.c04082.2.p,_31.3.1_,'cell.cycle.peptidylprolyl isomerase',1.30692527025285e-12
eucgr.c04084.1.p,_27.1_,'RNA.processing',5.97542773070232e-12
eucgr.c04091.1.p,_29.2.4_,'protein.synthesis.elongation',8.10116079637203e-13
eucgr.c04131.1.p,_29.8_,'protein.assembly and cofactor ligation',6.99722651156662e-13
eucgr.c04134.2.p,"_11.9.4.3_, _13.2.6.3_","'lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase', 'amino acid metabolism.degradation.aromatic aa.tryptophan'",1.03739749793986e-12
eucgr.c04160.1.p,_29.5.11.20_,'protein.degradation.ubiquitin.proteasom',4.25356179382839e-12
eucgr.c04198.1.p,_16.1.5_,'secondary metabolism.isoprenoids.terpenoids',4.61264761262347e-13
eucgr.c04235.1.p,_35.1_,'not assigned.no ontology',2.75504150434619e-11
eucgr.c04383.1.p,_34.30_,'transport.H+ transporting pyrophosphatase',2.07107448586251e-12
eucgr.d00028.1.p,_21.1_,'redox.thioredoxin',4.49989571865808e-12
eucgr.d00111.2.p,_13.1.7.9_,'amino acid metabolism.synthesis.histidine.histidinol dehydrogenase',2.02175474206584e-12
eucgr.d00127.1.p,_35.2_,'not assigned.unknown',8.32185965515699e-12
eucgr.d00177.1.p,_7.3_,'OPP.electron transfer',2.78768326076513e-12
eucgr.d00178.3.p,_35.2_,'not assigned.unknown',2.49039426440484e-12
eucgr.d00188.1.p,_15.2_,"'metal handling.binding, chelation and storage'",1.66725408569495e-12
eucgr.d00191.1.p,_29.5.5_,'protein.degradation.serine protease',1.79453283925061e-11
eucgr.d00194.1.p,_29.5.11.20_,'protein.degradation.ubiquitin.proteasom',1.40792527518901e-11
eucgr.d00234.3.p,_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',2.14092193407274e-11
eucgr.d00260.1.p,_20.2.3_,'stress.abiotic.drought/salt',1.98905935846136e-12
eucgr.d00261.2.p,_20.2.3_,'stress.abiotic.drought/salt',6.83445623223816e-12
eucgr.d00261.3.p,_20.2.3_,'stress.abiotic.drought/salt',9.62933048945445e-13
eucgr.d00281.1.p,_13.2.3.4_,'amino acid metabolism.degradation.aspartate family.methionine',1.26261425019036e-11
eucgr.d00301.2.p,_29.2.1.2.1.14_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S14',1.34687892527586e-11
eucgr.d00305.2.p,_11.1.3_,'lipid metabolism.FA synthesis and FA elongation.ketoacyl ACP synthase',4.61834252550503e-12
eucgr.d00320.1.p,_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',3.64276562928097e-10
eucgr.d00322.1.p,_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',6.09707087055166e-10
eucgr.d00323.1.p,_2.1.2.2_,'major CHO metabolism.synthesis.starch.starch synthase',8.92545006520471e-13
eucgr.d00483.2.p,_29.3.4.2_,'protein.targeting.secretory pathway.golgi',1.59657515839522e-12
eucgr.d00484.1.p,_29.5.3_,'protein.degradation.cysteine protease',7.27902604993143e-12
eucgr.d00494.1.p,_29.5.3_,'protein.degradation.cysteine protease',1.18977391344678e-12
eucgr.d00551.1.p,_19.10_,'tetrapyrrole synthesis.magnesium chelatase',8.2592331846494e-12
eucgr.d00571.1.p,_33.99_,'development.unspecified',3.06969604382744e-12
eucgr.d00574.1.p,_26.28_,'misc.GDSL-motif lipase',7.01445248537729e-13
eucgr.d00590.1.p,_30.5_,'signalling.G-proteins',1.33320055498726e-12
eucgr.d00609.1.p,_29.2.1.1.1.1.5_,'protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S5',9.73246256227079e-12
eucgr.d00613.1.p,_20.2.99_,'stress.abiotic.unspecified',1.49492337356634e-12
eucgr.d00614.1.p,_29.2.3_,'protein.synthesis.initiation',2.09242421065985e-12
eucgr.d00619.2.p,_35.2_,'not assigned.unknown',1.78048503272571e-12
eucgr.d00629.1.p,_21.1_,'redox.thioredoxin',1.92141303356362e-12
eucgr.d00644.1.p,_26.1_,'misc.misc2',5.19622093651759e-12
eucgr.d00645.1.p,_26.1_,'misc.misc2',2.43858016668773e-12
eucgr.d00699.2.p,_26.1_,'misc.misc2',1.06860136749505e-11
eucgr.d00723.1.p,_35.2_,'not assigned.unknown',2.5658960656933e-11
eucgr.d00737.1.p,_27.3.35_,'RNA.regulation of transcription.bZIP transcription factor family',1.91952975359305e-12
eucgr.d00854.1.p,_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',9.46390496585699e-10
eucgr.d00858.1.p,_16.8.1.2_,'secondary metabolism.flavonoids.anthocyanins.anthocyanidin reductase',5.63991627156528e-12
eucgr.d00882.1.p,_11.8_,"'lipid metabolism.'exotics'(steroids, squalene etc)'",3.80148401277794e-12
eucgr.d00957.1.p,_30.5_,'signalling.G-proteins',6.29084627904048e-12
eucgr.d00992.2.p,_21.4_,'redox.glutaredoxins',2.27786922995667e-12
eucgr.d01026.1.p,_31.4_,'cell.vesicle transport',2.21286124861507e-12
eucgr.d01027.1.p,_26.10_,'misc.cytochrome P450',1.06912376795487e-12
eucgr.d01044.3.p,_26.9_,'misc.glutathione S transferases',3.81102509113855e-13
eucgr.d01092.1.p,_35.1_,'not assigned.no ontology',1.00865829185413e-12
eucgr.d01093.1.p,_29.2.1.2.2.141_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L4/L1',2.34260265655341e-11
eucgr.d01098.1.p,_29.2.1.2.2.27_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L27',6.86393866749413e-12
eucgr.d01115.1.p,_29.2.1.1.1.2.3_,'protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L3',1.74984862533719e-11
eucgr.d01130.2.p,_35.2_,'not assigned.unknown',1.21703787436572e-12
eucgr.d01135.1.p,_26.9_,'misc.glutathione S transferases',8.37155818124063e-12
eucgr.d01169.1.p,_26.17_,'misc.dynamin',2.32318473534303e-12
eucgr.d01171.1.p,_30.5_,'signalling.G-proteins',1.97179792725141e-12
eucgr.d01183.1.p,_35.2_,'not assigned.unknown',1.03109654866585e-12
eucgr.d01184.2.p,_29.6_,'protein.folding',7.12660025536025e-12
eucgr.d01216.1.p,_27.3.67_,'RNA.regulation of transcription.putative transcription regulator',3.07495016100937e-12
eucgr.d01220.1.p,_23.4.10_,'nucleotide metabolism.phosphotransfer and pyrophosphatases.nucleoside diphosphate kinase',3.4355149566284e-11
eucgr.d01223.1.p,_33.99_,'development.unspecified',4.04490729856203e-12
eucgr.d01239.1.p,_11.9.1_,'lipid metabolism.lipid degradation.palmitoyl[protein] hydrolase',1.05229529487043e-11
eucgr.d01310.1.p,_27.3.99_,'RNA.regulation of transcription.unclassified',2.95247087823788e-12
eucgr.d01324.4.p,_2.1.2.2_,'major CHO metabolism.synthesis.starch.starch synthase',9.28221067740112e-13
eucgr.d01327.1.p,"_26.7_, _26.11_","'misc.oxidases - copper, flavone etc', 'misc.alcohol dehydrogenases'",3.60047723919017e-12
eucgr.d01335.1.p,_24.2_,'Biodegradation of Xenobiotics.lactoylglutathione lyase',9.12567698579709e-11
eucgr.d01336.1.p,_24.2_,'Biodegradation of Xenobiotics.lactoylglutathione lyase',3.24682869280729e-12
eucgr.d01338.1.p,_14.2_,'S-assimilation.APR',3.05216368698478e-12
eucgr.d01341.2.p,_23.1.2.20_,'nucleotide metabolism.synthesis.purine.adenylosuccinate synthase',2.94179940237309e-12
eucgr.d01509.1.p,_35.1_,'not assigned.no ontology',1.45873313499737e-12
eucgr.d01515.1.p,_29.6_,'protein.folding',2.19458789236152e-12
eucgr.d01602.2.p,_8.1.5_,'TCA / org transformation.TCA.2-oxoglutarate dehydrogenase',8.73078888744746e-12
eucgr.d01612.1.p,_31.1.1.2_,'cell.organisation.cytoskeleton.mikrotubuli',1.38457990323405e-12
eucgr.d01627.1.p,_29.3.4.99_,'protein.targeting.secretory pathway.unspecified',5.05640073562136e-12
eucgr.d01635.1.p,"_16.8.2_, _16.8.2.1_","'secondary metabolism.flavonoids.chalcones', 'secondary metabolism.flavonoids.chalcones.naringenin-chalcone synthase'",5.58849909417695e-13
eucgr.d01648.1.p,_29.2.1.1.1.2.11_,'protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L11',2.16866301115925e-11
eucgr.d01688.1.p,_35.1_,'not assigned.no ontology',3.20758246017265e-12
eucgr.d01707.2.p,_29.3.1_,'protein.targeting.nucleus',4.06214032446559e-12
eucgr.d01734.3.p,_11.1.9_,'lipid metabolism.FA synthesis and FA elongation.long chain fatty acid CoA ligase',6.14842076021317e-12
eucgr.d01750.1.p,_10.1.2_,'cell wall.precursor synthesis.UGE',1.20070035900801e-12
eucgr.d01759.1.p,_35.2_,'not assigned.unknown',2.35137179770298e-12
eucgr.d01765.1.p,_10.2.1_,'cell wall.cellulose synthesis.cellulose synthase',2.57677379467982e-11
eucgr.d01779.1.p,_7.1.3_,'OPP.oxidative PP.6-phosphogluconate dehydrogenase',2.25060092075149e-12
eucgr.d01791.1.p,_35.2_,'not assigned.unknown',1.92569897407716e-12
eucgr.d01798.1.p,"_20.1_, _29.3.4.4_","'stress.biotic', 'protein.targeting.secretory pathway.plasma membrane'",5.95644615485066e-12
eucgr.d01807.1.p,_29.4_,'protein.postranslational modification',2.43372067899088e-12
eucgr.d01829.1.p,_31.4_,'cell.vesicle transport',3.48754961404139e-12
eucgr.d01833.1.p,_29.5_,'protein.degradation',2.26545107542333e-11
eucgr.d01839.1.p,_26.10_,'misc.cytochrome P450',1.71583793146878e-12
eucgr.d01840.1.p,_33.99_,'development.unspecified',1.90877477942562e-12
eucgr.d01848.1.p,_21.2.2_,'redox.ascorbate and glutathione.glutathione',4.807200624639e-12
eucgr.d01856.1.p,_21.2.2_,'redox.ascorbate and glutathione.glutathione',3.01234858014686e-12
eucgr.d01857.1.p,_21.2.2_,'redox.ascorbate and glutathione.glutathione',8.1866251523711e-12
eucgr.d01888.1.p,_20.2_,'stress.abiotic',5.13959555546612e-12
eucgr.d01892.1.p,_20.2_,'stress.abiotic',4.63128375105845e-11
eucgr.d01898.1.p,_20.2_,'stress.abiotic',9.81056552431751e-13
eucgr.d01904.1.p,_20.2_,'stress.abiotic',1.03080791310406e-11
eucgr.d01905.1.p,_27.3.25_,'RNA.regulation of transcription.MYB domain transcription factor family',1.0246204457131e-12
eucgr.d01931.1.p,_16.1.2.2_,'secondary metabolism.isoprenoids.mevalonate pathway.HMG-CoA synthase',5.27221506739799e-12
eucgr.d01934.2.p,"_10.1.10_, _10.1.11_","'cell wall.precursor synthesis.RHM', 'cell wall.precursor synthesis.UER'",1.8933436598685e-12
eucgr.d01944.1.p,_1.1.40_,'PS.lightreaction.cyclic electron flow-chlororespiration',3.83077608885182e-11
eucgr.d01945.1.p,_16.8.1.1_,'secondary metabolism.flavonoids.anthocyanins.leucocyanidin dioxygenase',4.28677326551476e-12
eucgr.d01990.1.p,"_29.4_, _30.3_","'protein.postranslational modification', 'signalling.calcium'",2.78140272747028e-12
eucgr.d01996.1.p,_26.7_,"'misc.oxidases - copper, flavone etc'",6.61338297002614e-12
eucgr.d02006.1.p,"_16.8.3.3_, _26.10_","'secondary metabolism.flavonoids.dihydroflavonols.flavonoid 3''-monooxygenase', 'misc.cytochrome P450'",2.29379376641059e-12
eucgr.d02015.3.p,_35.1.5_,'not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein',6.31308725621063e-12
eucgr.d02017.3.p,_35.2_,'not assigned.unknown',6.11572051993398e-12
eucgr.d02023.1.p,_29.2.4_,'protein.synthesis.elongation',2.51050628845141e-11
eucgr.d02024.1.p,_20_,'stress',9.74952735715308e-12
eucgr.d02028.2.p,_35.1.5_,'not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein',5.4764543911517e-12
eucgr.d02072.1.p,_29.5.1_,'protein.degradation.subtilases',3.2322976253619e-12
eucgr.d02073.2.p,_20.2.1_,'stress.abiotic.heat',1.81165116390639e-12
eucgr.d02080.1.p,_29.1.22_,'protein.aa activation.asparagine-tRNA ligase',3.66586151844062e-12
eucgr.d02094.1.p,_1.2_,'PS.photorespiration',2.49107472262948e-12
eucgr.d02095.1.p,_35.1_,'not assigned.no ontology',7.7662326350533e-13
eucgr.d02110.1.p,_34.1_,'transport.p- and v-ATPases',2.84531096448451e-12
eucgr.d02118.2.p,_27.4_,'RNA.RNA binding',7.06673706392549e-12
eucgr.d02118.3.p,_35.2_,'not assigned.unknown',4.42971607712031e-12
eucgr.d02120.1.p,_26.7_,"'misc.oxidases - copper, flavone etc'",6.37023096675145e-13
eucgr.d02121.1.p,_26.7_,"'misc.oxidases - copper, flavone etc'",3.02592387104207e-12
eucgr.d02125.1.p,_29.2.1.1.1.2.19_,'protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L19',5.52126555386133e-12
eucgr.d02152.1.p,_35.1_,'not assigned.no ontology',2.00346846404422e-12
eucgr.d02179.2.p,_1.2.4.4_,'PS.photorespiration.glycine cleavage.H protein',3.55163203038575e-10
eucgr.d02183.1.p,_35.2_,'not assigned.unknown',1.39545030970893e-12
eucgr.d02190.2.p,_29.5_,'protein.degradation',4.18528099699545e-12
eucgr.d02202.1.p,"_29.5.11.5_, _31.4_, _33.99_","'protein.degradation.ubiquitin.ubiquitin protease', 'cell.vesicle transport', 'development.unspecified'",1.00415975840288e-12
eucgr.d02207.1.p,_27.4_,'RNA.RNA binding',1.41993536374128e-12
eucgr.d02221.1.p,_31.1_,'cell.organisation',4.23914175181083e-11
eucgr.d02227.2.p,_35.2_,'not assigned.unknown',2.79470582116393e-11
eucgr.d02241.4.p,"_29.3.5_, _31.1_","'protein.targeting.peroxisomes', 'cell.organisation'",2.49774564651225e-12
eucgr.d02251.1.p,_8.2.10_,'TCA / org transformation.other organic acid transformatons.malic',8.67103909430781e-12
eucgr.d02253.2.p,_26.22_,'misc.short chain dehydrogenase/reductase (SDR)',1.19852175786735e-11
eucgr.d02256.1.p,_26.22_,'misc.short chain dehydrogenase/reductase (SDR)',2.50421281334638e-12
eucgr.d02258.2.p,_26.22_,'misc.short chain dehydrogenase/reductase (SDR)',4.10641190195307e-12
eucgr.d02259.1.p,_26.22_,'misc.short chain dehydrogenase/reductase (SDR)',1.69912849935157e-12
eucgr.d02263.1.p,_26.22_,'misc.short chain dehydrogenase/reductase (SDR)',3.18347438838018e-13
eucgr.d02270.1.p,_28.1_,'DNA.synthesis/chromatin structure',3.3064872988653e-12
eucgr.d02284.1.p,_23.5.3_,'nucleotide metabolism.deoxynucleotide metabolism.cytosine deaminase',2.02072370396456e-12
eucgr.d02302.1.p,_34.2_,'transport.sugars',9.65736762098166e-13
eucgr.d02319.1.p,_29.2.1.1.1.2.5_,'protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L5',1.25688112108484e-11
eucgr.d02325.2.p,_29.5_,'protein.degradation',4.91478358338136e-13
eucgr.d02339.2.p,_35.2_,'not assigned.unknown',1.73770518449877e-10
eucgr.d02351.1.p,_16.8.3_,'secondary metabolism.flavonoids.dihydroflavonols',2.83145613094671e-12
eucgr.d02357.1.p,_16.8.3_,'secondary metabolism.flavonoids.dihydroflavonols',2.56240315187685e-12
eucgr.d02358.1.p,_16.8.3.1_,'secondary metabolism.flavonoids.dihydroflavonols.dihydroflavonol 4-reductase',8.94451240532597e-13
eucgr.d02383.1.p,_29.3.1_,'protein.targeting.nucleus',3.55639043691358e-12
eucgr.d02445.1.p,_13.1.3.5.1_,'amino acid metabolism.synthesis.aspartate family.lysine.dihydrodipicolinate synthase',3.38170635131702e-12
eucgr.d02448.1.p,_30.3_,'signalling.calcium',3.01548187212327e-11
eucgr.d02462.1.p,_29.2.1.2.1.13_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S13',3.11202687347472e-11
eucgr.d02465.1.p,_13.1.6.1.6_,'amino acid metabolism.synthesis.aromatic aa.chorismate.5-enolpyruvylshikimate-3-phosphate synthase',3.32871162487018e-12
eucgr.d02466.1.p,"_1.3.8_, _7.2.1_","'PS.calvin cycle.transketolase', 'OPP.non-reductive PP.transketolase'",9.12047935413551e-11
eucgr.d02467.1.p,"_1.3.8_, _7.2.1_","'PS.calvin cycle.transketolase', 'OPP.non-reductive PP.transketolase'",4.91147687246697e-10
eucgr.d02487.1.p,_26.21_,'misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein',4.08916513278779e-12
eucgr.d02491.1.p,"_28.99_, _29.3.4.1_","'DNA.unspecified', 'protein.targeting.secretory pathway.ER'",3.90699126253737e-12
eucgr.d02502.5.p,_31.1_,'cell.organisation',4.39424440534521e-13
eucgr.d02508.2.p,_29.2.1.2.1.14_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S14',2.05128356570467e-11
eucgr.d02555.1.p,_17.1.1.1.10_,'hormone metabolism.abscisic acid.synthesis-degradation.synthesis.9-cis-epoxycarotenoid dioxygenase',4.2847872255024e-12
eucgr.d02563.1.p,_27.2_,'RNA.transcription',1.34600546490059e-12
eucgr.d02588.1.p,_29.2.1.2.2.13_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L13',7.51114607795448e-12
eucgr.d02626.3.p,_34.99_,'transport.misc',1.85992686331201e-12
eucgr.d02637.1.p,_29.5.11.20_,'protein.degradation.ubiquitin.proteasom',2.35929949229972e-12
eucgr.d02642.2.p,_35.2_,'not assigned.unknown',1.74408239872319e-11
eucgr.d02643.1.p,_35.2_,'not assigned.unknown',1.05736929243294e-12
eucgr.e00001.1.p,_16.8.5.1_,'secondary metabolism.flavonoids.isoflavones.isoflavone reductase',2.11469025529166e-12
eucgr.e00013.3.p,_31.1_,'cell.organisation',4.38265562232732e-12
eucgr.e00015.1.p,_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',1.54686356208897e-11
eucgr.e00064.1.p,_27.1.2_,'RNA.processing.RNA helicase',4.29137072561028e-12
eucgr.e00068.1.p,_35.1.41_,'not assigned.no ontology.hydroxyproline rich proteins',3.82430744452304e-11
eucgr.e00080.1.p,_35.2_,'not assigned.unknown',3.63629955620123e-11
eucgr.e00105.1.p,_10.6.3_,'cell wall.degradation.pectate lyases and polygalacturonases',1.98068305021007e-12
eucgr.e00118.1.p,_13.1.5.3.1_,'amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine.OASTL',3.95135636152562e-12
eucgr.e00121.1.p,_11.3_,'lipid metabolism.Phospholipid synthesis',1.49712795686995e-12
eucgr.e00180.1.p,_34.15_,'transport.potassium',3.26140494677921e-12
eucgr.e00182.2.p,_10.1.21_,'cell wall.precursor synthesis.phosphomannomutase',5.81666670253198e-13
eucgr.e00194.2.p,_29.3.3_,'protein.targeting.chloroplast',1.27399989473725e-12
eucgr.e00214.3.p,"_29.3.5_, _31.1_","'protein.targeting.peroxisomes', 'cell.organisation'",2.64651878583745e-12
eucgr.e00217.5.p,_35.1_,'not assigned.no ontology',2.7889710937828e-12
eucgr.e00228.1.p,_11.3.1_,'lipid metabolism.Phospholipid synthesis.1-acylglycerol-3-phosphate O-acyltransferase',1.10993600333261e-11
eucgr.e00233.1.p,_13.1.6.1.5_,'amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase',1.7663159004815e-12
eucgr.e00263.1.p,_30.4.5_,"'signalling.phosphinositides.inositol-1,3,4-trisphosphate 5/6-kinase'",1.26955096443044e-12
eucgr.e00279.1.p,_35.2_,'not assigned.unknown',1.52989593290593e-12
eucgr.e00280.5.p,_34.9_,'transport.metabolite transporters at the mitochondrial membrane',3.16044815827812e-11
eucgr.e00301.1.p,_34.16_,'transport.ABC transporters and multidrug resistance systems',6.80240059245286e-13
eucgr.e00336.1.p,_16.8.5.1_,'secondary metabolism.flavonoids.isoflavones.isoflavone reductase',6.01945382388806e-11
eucgr.e00343.1.p,_16.8.5.1_,'secondary metabolism.flavonoids.isoflavones.isoflavone reductase',1.8224632971433e-11
eucgr.e00355.1.p,"_27.3.23_, _27.3.99_","'RNA.regulation of transcription.HSF,Heat-shock transcription factor family', 'RNA.regulation of transcription.unclassified'",4.17832730377478e-12
eucgr.e00356.2.p,_29.5.5_,'protein.degradation.serine protease',2.3651002454602e-12
eucgr.e00370.1.p,_30.5_,'signalling.G-proteins',3.52735178853381e-11
eucgr.e00375.1.p,_29.5_,'protein.degradation',1.28764208898631e-12
eucgr.e00404.2.p,_16.1.5_,'secondary metabolism.isoprenoids.terpenoids',6.32525870336145e-13
eucgr.e00406.1.p,_11.9.4.2_,'lipid metabolism.lipid degradation.beta-oxidation.acyl CoA DH',4.71616352474787e-12
eucgr.e00451.2.p,_23.3.1.1_,'nucleotide metabolism.salvage.phosphoribosyltransferases.aprt',1.8337622073086e-12
eucgr.e00484.1.p,_29.5.5_,'protein.degradation.serine protease',3.50060571286537e-12
eucgr.e00488.1.p,_29.3.99_,'protein.targeting.unknown',1.56123878229318e-12
eucgr.e00535.1.p,_31.4_,'cell.vesicle transport',5.83580016663577e-13
eucgr.e00560.1.p,_20.2_,'stress.abiotic',5.65605922938846e-12
eucgr.e00577.1.p,_11.1.8_,'lipid metabolism.FA synthesis and FA elongation.acyl coa ligase',1.0741706904498e-12
eucgr.e00579.1.p,_21.2.2_,'redox.ascorbate and glutathione.glutathione',3.92249868056613e-11
eucgr.e00619.1.p,_35.1_,'not assigned.no ontology',3.58018397079358e-12
eucgr.e00626.1.p,_23.1.2.31_,'nucleotide metabolism.synthesis.purine.GMP synthetase',1.55855676572453e-12
eucgr.e00628.1.p,_34.19.1_,'transport.Major Intrinsic Proteins.PIP',8.84893640801623e-12
eucgr.e00655.4.p,_29.2.1.2.1.10_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S10',2.43679176957272e-11
eucgr.e00656.1.p,_21.2.1_,'redox.ascorbate and glutathione.ascorbate',1.02723540797437e-12
eucgr.e00780.1.p,_16.1.1.5_,'secondary metabolism.isoprenoids.non-mevalonate pathway.MCS',3.87072398839991e-12
eucgr.e00806.1.p,_30.3_,'signalling.calcium',1.17375698311099e-12
eucgr.e00812.1.p,_20.1.7_,'stress.biotic.PR-proteins',2.19502178339652e-12
eucgr.e00814.1.p,_20.1.7_,'stress.biotic.PR-proteins',6.24115725745184e-12
eucgr.e00825.1.p,_34.16_,'transport.ABC transporters and multidrug resistance systems',8.84424336902313e-13
eucgr.e00828.1.p,"_34.1.1_, _34.1.1.4_","'transport.p- and v-ATPases.H+-transporting two-sector ATPase', 'transport.p- and v-ATPases.H+-transporting two-sector ATPase.subunit E'",5.20141312533054e-12
eucgr.e00844.1.p,"_30.11.1_, _33.99_","'signalling.light.COP9 signalosome', 'development.unspecified'",1.67182500314942e-12
eucgr.e00845.1.p,_34.9_,'transport.metabolite transporters at the mitochondrial membrane',2.08324195057791e-12
eucgr.e00871.3.p,_23.4.10_,'nucleotide metabolism.phosphotransfer and pyrophosphatases.nucleoside diphosphate kinase',4.6984172207385e-11
eucgr.e00872.1.p,_10.1.2_,'cell wall.precursor synthesis.UGE',2.72870951267917e-11
eucgr.e00873.1.p,"_26.17_, _30.5_","'misc.dynamin', 'signalling.G-proteins'",7.00752807870228e-13
eucgr.e00889.1.p,_29.5.11.20_,'protein.degradation.ubiquitin.proteasom',3.35968474017162e-12
